ad_id,clicks,impressions,cost,leads,conversions,conversion_rate,sale_amount,ad_date,device,keyword
A1000,104,4498,231.88,14,7,0.067,1892.00,2024-11-16,Desktop,Learn Data Analytics
A1001,173,5107,216.84,10,8,0.046,1679.00,2024-11-20,Mobile,Data Analytics Course
A1002,90,4544,203.66,26,9,0.100,1624.00,2024-11-16,Desktop,Data Analytics Online
A1003,142,3185,237.66,17,6,0.042,1225.00,2024-11-26,Tablet,Data Analytics Training
A1004,156,3361,195.90,30,8,0.051,1091.00,2024-11-22,Desktop,Data Analytics Online
A1005,195,3776,243.57,10,8,0.041,1315.00,2024-11-16,Mobile,Data Analytics Training
A1006,116,4480,237.79,17,5,0.043,1640.00,2024-06-11,Tablet,Data Analytics Course
A1007,184,5060,229.61,23,3,0.016,1509.00,2024-11-24,Tablet,Analytics For Data
A1009,166,3355,186.78,24,9,0.054,1029.00,2024-11-12,Mobile,Data Analytics Online
A1010,101,5399,236.79,20,6,0.059,1900.00,2024-11-14,Desktop,Learn Data Analytics
A1011,101,3613,208.12,24,5,0.050,1130.00,2024-11-22,Desktop,Data Analytics Online
A1012,125,3259,191.30,18,3,0.024,1959.00,2024-11-27,Desktop,Data Analytics Online
A1013,196,3742,207.46,10,7,0.036,1623.00,2024-12-11,Mobile,Data Analytics Training
A1014,181,4311,185.09,11,9,0.050,1538.00,2024-11-04,Desktop,Data Analytics Training
A1015,102,5461,201.69,22,8,0.078,1755.00,2024-11-29,Desktop,Data Analytics Course
A1017,149,4431,207.40,19,9,0.060,1693.00,2024-12-11,Mobile,Learn Data Analytics
A1018,150,3113,217.41,20,5,0.033,1785.00,2024-11-07,Mobile,Analytics For Data
A1020,184,4143,223.30,10,10,0.054,1735.00,2024-11-21,Tablet,Learn Data Analytics
A1021,171,4154,184.23,30,7,0.041,1803.00,2024-11-08,Tablet,Data Analytics Online
A1022,122,5187,211.24,27,6,0.049,1322.00,2024-11-20,Desktop,Data Analytics Online
A1023,188,5798,230.17,28,5,0.027,1452.00,2024-11-30,Tablet,Data Analytics Course
A1025,88,3349,181.92,22,8,0.091,1456.00,2024-11-20,Tablet,Learn Data Analytics
A1026,119,5323,205.92,17,10,0.084,1656.00,2024-11-02,Desktop,Data Analytics Online
A1028,128,5469,188.49,16,3,0.023,1783.00,2024-11-23,Mobile,Learn Data Analytics
A1029,86,3351,237.75,21,9,0.105,1975.00,2024-11-13,Mobile,Analytics For Data
A1030,188,4834,213.58,15,4,0.021,1590.00,2024-11-08,Tablet,Data Analytics Online
A1031,113,5065,212.37,11,5,0.044,1111.00,2024-11-22,Desktop,Data Analytics Online
A1033,176,5509,234.59,19,7,0.040,1710.00,2024-11-03,Tablet,Data Analytics Course
A1035,104,5275,236.48,16,9,0.087,1824.00,2024-01-11,Desktop,Data Analytics Training
A1036,146,5939,242.90,11,8,0.055,1833.00,2024-11-07,Desktop,Data Analytics Training
A1038,90,5786,197.55,11,6,0.067,1704.00,2024-11-16,Mobile,Data Analytics Online
A1039,171,4304,192.61,17,10,0.058,1427.00,2024-11-26,Mobile,Learn Data Analytics
A1040,94,5549,231.23,25,9,0.096,1849.00,2024-11-12,Mobile,Data Analytics Training
A1041,112,4271,196.07,27,6,0.054,1209.00,2024-11-14,Desktop,Data Analytics Online
A1042,113,4418,191.55,27,10,0.088,1634.00,2024-11-09,Mobile,Data Analytics Course
A1043,145,3721,180.95,21,7,0.048,1960.00,2024-11-29,Desktop,Data Analytics Online
A1044,197,5783,204.46,23,6,0.030,1729.00,2024-01-11,Tablet,Data Analytics Training
A1045,109,4866,236.78,27,5,0.046,1585.00,2024-11-15,Mobile,Data Analytics Online
A1046,188,5857,222.98,20,4,0.021,1303.00,2024-11-11,Desktop,Data Analytics Training
A1047,142,5103,234.10,24,3,0.021,1835.00,2024-11-08,Mobile,Analytics For Data
A1048,168,4653,240.84,27,9,0.054,1367.00,2024-11-24,Mobile,Data Analytics Online
A1049,110,3524,248.86,19,10,0.091,1524.00,2024-11-21,Mobile,Learn Data Analytics
A1050,192,5938,182.84,26,5,0.026,1080.00,2024-11-12,Mobile,Analytics For Data
A1051,101,3942,206.62,16,5,0.050,1746.00,2024-11-24,Tablet,Analytics For Data
A1052,157,3315,189.56,15,10,0.064,1026.00,2024-11-25,Mobile,Data Analytics Online
A1053,113,4945,187.66,15,10,0.088,1564.00,2024-11-26,Tablet,Learn Data Analytics
A1054,96,3166,196.15,29,7,0.073,1902.00,2024-11-26,Desktop,Learn Data Analytics
A1055,125,4223,183.68,15,6,0.048,1267.00,2024-11-05,Desktop,Data Analytics Online
A1056,104,4798,210.10,18,3,0.029,1340.00,2024-11-21,Desktop,Analytics For Data
A1057,194,5655,208.58,13,6,0.031,1692.00,2024-11-16,Mobile,Data Analytics Training
A1058,144,5140,219.48,19,8,0.056,1054.00,2024-11-18,Desktop,Data Analytics Online
A1060,166,5223,189.76,18,7,0.042,1219.00,2024-11-16,Tablet,Data Analytics Course
A1062,118,5016,204.31,19,9,0.076,1833.00,2024-11-08,Desktop,Analytics For Data
A1063,185,3617,222.32,24,7,0.038,1963.00,2024-11-23,Mobile,Data Analytics Course
A1064,116,3764,232.03,28,10,0.086,1348.00,2024-11-20,Tablet,Data Analytics Course
A1065,99,4489,183.73,15,6,0.061,1264.00,2024-11-05,Desktop,Data Analytics Online
A1066,172,4441,221.18,14,8,0.047,1771.00,2024-11-27,Mobile,Analytics For Data
A1067,138,5751,199.11,26,9,0.065,1337.00,2024-11-10,Desktop,Data Analytics Online
A1068,84,4036,234.22,23,10,0.119,1287.00,2024-04-11,Desktop,Learn Data Analytics
A1069,124,4942,240.59,18,3,0.024,1922.00,2024-11-16,Desktop,Learn Data Analytics
A1070,122,4989,215.48,12,5,0.041,1975.00,2024-11-06,Mobile,Data Analytics Online
A1071,180,3006,228.14,22,7,0.039,1556.00,2024-11-04,Tablet,Learn Data Analytics
A1073,164,3734,225.39,27,8,0.049,1728.00,2024-12-11,Tablet,Learn Data Analytics
A1074,150,4621,246.30,15,6,0.040,1554.00,2024-11-09,Desktop,Data Analytics Online
A1075,97,3212,212.55,27,10,0.103,1994.00,2024-11-23,Desktop,Analytics For Data
A1076,128,4225,228.24,30,4,0.031,1618.00,2024-11-08,Mobile,Learn Data Analytics
A1077,99,4779,233.78,26,10,0.101,1086.00,2024-11-05,Desktop,Data Analytics Online
A1078,86,5352,234.05,11,5,0.058,1364.00,2024-11-09,Tablet,Data Analytics Online
A1079,118,5405,187.28,25,7,0.059,1836.00,2024-11-05,Tablet,Analytics For Data
A1080,127,5430,199.13,14,6,0.047,1932.00,2024-11-25,Mobile,Analytics For Data
A1081,83,4808,241.35,20,7,0.084,1038.00,2024-11-30,Mobile,Learn Data Analytics
A1083,168,4683,215.28,30,8,0.048,1327.00,2024-11-28,Mobile,Data Analytics Online
A1084,112,5814,227.38,11,8,0.071,1467.00,2024-11-03,Tablet,Analytics For Data
A1085,123,3292,233.20,28,6,0.049,1174.00,2024-11-19,Desktop,Data Analytics Training
A1086,174,4305,206.02,20,3,0.017,1057.00,2024-11-23,Desktop,Learn Data Analytics
A1088,195,5935,209.68,23,9,0.046,1966.00,2024-11-07,Tablet,Data Analytics Online
A1089,176,5847,241.04,13,6,0.034,1194.00,2024-11-02,Desktop,Data Analytics Online
A1090,141,4851,227.39,28,5,0.035,1821.00,2024-11-15,Desktop,Analytics For Data
A1091,108,4710,204.16,19,10,0.093,1731.00,2024-11-20,Tablet,Data Analytics Online
A1094,145,5004,216.45,22,5,0.034,1496.00,2024-11-01,Tablet,Data Analytics Online
A1095,183,3947,197.30,15,8,0.044,1645.00,2024-11-14,Desktop,Data Analytics Training
A1096,113,3690,229.42,20,5,0.044,1915.00,2024-11-28,Tablet,Learn Data Analytics
A1097,101,5943,187.32,27,6,0.059,1614.00,2024-11-15,Tablet,Data Analytics Online
A1098,189,5357,222.50,24,3,0.016,1839.00,2024-11-25,Tablet,Data Analytics Course
A1099,154,3596,236.14,30,9,0.058,1036.00,2024-11-06,Tablet,Data Analytics Online
A1100,179,5162,246.76,16,5,0.028,1052.00,2024-11-29,Desktop,Data Analytics Online
A1101,148,3747,244.41,18,8,0.054,1092.00,2024-11-17,Tablet,Learn Data Analytics
A1102,177,4822,197.03,26,9,0.051,1909.00,2024-11-04,Mobile,Data Analytics Online
A1105,146,4765,230.22,23,5,0.034,1944.00,2024-11-28,Tablet,Analytics For Data
A1107,159,5127,197.16,21,4,0.025,1867.00,2024-11-03,Tablet,Learn Data Analytics
A1108,144,5674,235.36,12,3,0.021,1505.00,2024-11-22,Desktop,Analytics For Data
A1109,122,3793,237.22,19,8,0.066,1842.00,2024-11-20,Tablet,Data Analytics Online
A1110,112,4315,235.33,28,9,0.080,1116.00,2024-11-08,Mobile,Data Analytics Course
A1111,174,4704,192.32,21,10,0.057,1501.00,2024-11-24,Mobile,Learn Data Analytics
A1112,168,3349,235.60,23,9,0.054,1894.00,2024-11-09,Mobile,Data Analytics Online
A1113,173,3501,223.90,28,10,0.058,1179.00,2024-11-25,Mobile,Data Analytics Course
A1115,140,5405,195.69,21,8,0.057,1094.00,2024-11-21,Desktop,Data Analytics Training
A1116,93,3425,229.76,26,4,0.043,1344.00,2024-11-24,Mobile,Data Analytics Online
A1117,114,5263,189.13,23,5,0.044,1434.00,2024-05-11,Mobile,Data Analytics Course
A1119,188,3327,193.76,24,6,0.032,1220.00,2024-03-11,Tablet,Data Analytics Online
A1121,113,5471,215.57,27,9,0.080,1123.00,2024-11-23,Mobile,Analytics For Data
A1122,109,3550,240.33,14,8,0.073,1982.00,2024-11-24,Tablet,Learn Data Analytics
A1123,174,3178,225.67,18,10,0.057,1140.00,2024-11-20,Desktop,Data Analytics Online
A1124,96,4673,192.88,24,5,0.052,1962.00,2024-11-10,Mobile,Learn Data Analytics
A1125,110,4254,187.87,11,4,0.036,1172.00,2024-11-04,Mobile,Data Analytics Training
A1126,163,3658,237.63,23,7,0.043,1699.00,2024-11-23,Tablet,Data Analytics Online
A1127,161,5319,235.98,13,4,0.025,1423.00,2024-11-18,Mobile,Learn Data Analytics
A1128,195,5278,193.49,30,7,0.036,1456.00,2024-11-04,Mobile,Data Analytics Course
A1129,84,3755,218.88,14,9,0.107,1299.00,2024-11-05,Tablet,Analytics For Data
A1130,113,4580,194.82,11,6,0.053,1248.00,2024-11-28,Tablet,Data Analytics Course
A1131,117,3809,225.14,12,5,0.043,1495.00,2024-11-09,Desktop,Data Analytics Training
A1132,135,5118,219.99,27,6,0.044,1089.00,2024-11-20,Mobile,Data Analytics Online
A1133,92,5766,186.14,28,7,0.076,1013.00,2024-11-27,Tablet,Data Analytics Training
A1135,101,4724,228.38,13,7,0.069,1243.00,2024-11-20,Desktop,Learn Data Analytics
A1136,111,5895,205.25,29,4,0.036,1693.00,2024-11-04,Mobile,Data Analytics Course
A1138,99,3169,237.68,21,6,0.061,1509.00,2024-11-22,Mobile,Data Analytics Online
A1139,154,4535,229.29,11,3,0.019,1434.00,2024-11-01,Tablet,Data Analytics Training
A1140,129,3849,249.29,22,10,0.078,1767.00,2024-11-11,Desktop,Analytics For Data
A1144,134,3724,188.02,26,9,0.067,1891.00,2024-11-07,Desktop,Data Analytics Online
A1145,174,4838,242.35,21,3,0.017,1599.00,2024-11-22,Desktop,Data Analytics Online
A1146,196,4524,192.01,15,8,0.041,1048.00,2024-11-13,Desktop,Data Analytics Course
A1147,194,4694,228.15,17,7,0.036,1874.00,2024-11-14,Tablet,Learn Data Analytics
A1149,100,4235,222.61,10,8,0.080,1814.00,2024-01-11,Desktop,Data Analytics Training
A1150,153,4367,184.51,29,9,0.059,1507.00,2024-11-13,Mobile,Analytics For Data
A1151,110,3748,198.68,24,9,0.082,1041.00,2024-05-11,Tablet,Data Analytics Training
A1153,156,3335,236.98,29,7,0.045,1143.00,2024-11-14,Desktop,Data Analytics Course
A1154,177,5671,210.74,19,6,0.034,1172.00,2024-11-25,Tablet,Data Analytics Course
A1155,89,3408,214.78,25,9,0.101,1898.00,2024-11-15,Mobile,Data Analytics Course
A1156,155,4422,183.96,14,8,0.052,1143.00,2024-11-15,Mobile,Analytics For Data
A1157,123,3097,190.55,20,8,0.065,1640.00,2024-11-22,Tablet,Data Analytics Course
A1158,102,3621,244.82,10,5,0.049,1375.00,2024-11-12,Mobile,Learn Data Analytics
A1159,150,4806,244.53,15,9,0.060,1602.00,2024-07-11,Mobile,Data Analytics Online
A1161,143,3901,191.38,29,4,0.028,1786.00,2024-11-24,Mobile,Learn Data Analytics
A1162,178,4673,222.46,29,6,0.034,1219.00,2024-11-04,Tablet,Data Analytics Online
A1163,152,3542,208.96,13,9,0.059,1735.00,2024-11-13,Desktop,Data Analytics Course
A1164,139,4347,238.19,26,5,0.036,1384.00,2024-11-13,Tablet,Analytics For Data
A1165,175,5014,247.24,25,7,0.040,1499.00,2024-11-15,Mobile,Learn Data Analytics
A1166,92,4185,218.46,21,9,0.098,1567.00,2024-11-03,Mobile,Data Analytics Online
A1168,86,5124,183.71,13,10,0.116,1137.00,2024-11-20,Mobile,Data Analytics Training
A1169,117,4162,238.08,28,10,0.085,1186.00,2024-11-22,Mobile,Data Analytics Online
A1170,146,4330,191.90,20,3,0.021,1748.00,2024-11-09,Mobile,Data Analytics Online
A1172,195,3483,213.99,27,7,0.036,1796.00,2024-11-23,Desktop,Learn Data Analytics
A1173,170,4519,240.63,22,7,0.041,1012.00,2024-11-27,Mobile,Analytics For Data
A1174,97,3605,240.29,21,7,0.072,1682.00,2024-11-10,Desktop,Data Analytics Online
A1175,159,5076,204.97,15,10,0.063,1638.00,2024-11-17,Tablet,Data Analytics Course
A1176,131,5352,225.86,24,10,0.076,1961.00,2024-11-20,Mobile,Data Analytics Online
A1177,108,5503,185.26,11,7,0.065,1921.00,2024-06-11,Mobile,Data Analytics Online
A1178,93,4308,209.83,19,9,0.097,1694.00,2024-11-20,Mobile,Data Analytics Course
A1180,81,5615,193.14,30,6,0.074,1255.00,2024-11-28,Mobile,Analytics For Data
A1181,160,4743,206.22,23,10,0.063,1825.00,2024-11-20,Mobile,Learn Data Analytics
A1182,186,3337,183.58,16,8,0.043,1045.00,2024-11-30,Desktop,Data Analytics Online
A1183,105,3234,238.80,27,10,0.095,1248.00,2024-11-06,Desktop,Data Analytics Online
A1184,131,3913,203.69,14,10,0.076,1079.00,2024-11-25,Desktop,Data Analytics Training
A1185,129,3208,204.20,18,8,0.062,1456.00,2024-11-29,Desktop,Learn Data Analytics
A1186,187,5972,220.64,30,7,0.037,1980.00,2024-11-14,Desktop,Data Analytics Course
A1187,167,3662,235.43,10,7,0.042,1684.00,2024-11-25,Mobile,Data Analytics Training
A1188,140,3359,182.13,29,7,0.050,1973.00,2024-11-28,Desktop,Data Analytics Online
A1189,198,3700,220.67,14,5,0.025,1531.00,2024-11-10,Mobile,Analytics For Data
A1190,196,3835,218.07,10,9,0.046,1871.00,2024-04-11,Tablet,Data Analytics Online
A1191,140,5638,208.02,22,5,0.036,1652.00,2024-11-18,Desktop,Data Analytics Training
A1192,157,5825,230.60,16,3,0.019,1041.00,2024-11-16,Desktop,Data Analytics Training
A1193,91,5428,248.38,11,3,0.033,1835.00,2024-11-22,Tablet,Learn Data Analytics
A1194,140,3571,238.12,21,9,0.064,1762.00,2024-11-16,Desktop,Learn Data Analytics
A1195,154,3638,182.17,11,8,0.052,1413.00,2024-11-04,Mobile,Data Analytics Online
A1196,133,4505,200.52,23,3,0.023,1562.00,2024-11-26,Tablet,Analytics For Data
A1198,141,3071,208.20,10,6,0.043,1647.00,2024-11-18,Tablet,Data Analytics Online
A1200,199,5067,247.38,24,8,0.040,1365.00,2024-11-19,Mobile,Analytics For Data
A1201,138,3971,184.87,28,3,0.022,1718.00,2024-11-07,Tablet,Learn Data Analytics
A1202,175,4481,236.38,21,10,0.057,1257.00,2024-11-20,Desktop,Data Analytics Course
A1203,170,5476,186.29,25,4,0.024,1731.00,2024-08-11,Mobile,Analytics For Data
A1204,138,4426,203.75,24,10,0.072,1838.00,2024-11-05,Mobile,Data Analytics Course
A1205,108,4080,247.80,18,4,0.037,1363.00,2024-11-30,Tablet,Data Analytics Online
A1206,150,4113,219.67,12,7,0.047,1196.00,2024-11-22,Mobile,Learn Data Analytics
A1207,90,5119,226.58,14,10,0.111,1348.00,2024-11-07,Desktop,Analytics For Data
A1208,98,3422,223.55,17,7,0.071,1414.00,2024-11-19,Tablet,Data Analytics Online
A1209,130,3327,224.83,13,3,0.023,1668.00,2024-11-16,Mobile,Data Analytics Online
A1214,183,4001,237.85,23,4,0.022,1430.00,2024-11-21,Mobile,Data Analytics Online
A1215,126,4206,233.76,29,10,0.079,1998.00,2024-11-06,Tablet,Data Analytics Online
A1217,92,4042,200.75,15,7,0.076,1234.00,2024-11-24,Tablet,Learn Data Analytics
A1219,92,3748,208.15,14,8,0.087,1297.00,2024-11-02,Desktop,Analytics For Data
A1220,135,3480,224.94,11,4,0.030,1398.00,2024-11-23,Tablet,Data Analytics Online
A1221,177,3007,223.22,30,8,0.045,1766.00,2024-11-02,Mobile,Data Analytics Online
A1222,117,3380,186.73,21,10,0.085,1958.00,2024-11-19,Desktop,Data Analytics Training
A1223,127,4823,194.69,11,10,0.079,1496.00,2024-11-15,Desktop,Data Analytics Course
A1224,132,4490,202.45,10,7,0.053,1441.00,2024-11-10,Mobile,Data Analytics Online
A1225,102,5149,229.48,27,9,0.088,1137.00,2024-11-26,Desktop,Learn Data Analytics
A1227,163,5643,217.40,30,6,0.037,1678.00,2024-11-01,Desktop,Data Analytics Online
A1230,127,3344,201.70,10,8,0.063,1190.00,2024-11-11,Desktop,Analytics For Data
A1231,178,4441,231.97,22,4,0.022,1886.00,2024-11-24,Mobile,Analytics For Data
A1234,95,4562,187.62,24,9,0.095,1239.00,2024-11-26,Desktop,Data Analytics Training
A1235,85,5099,232.56,28,9,0.106,1526.00,2024-02-11,Mobile,Data Analytics Training
